ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
1,big,adjective,grande,ˈgɾɐ̃dɨ,garandi,ˈgɾãdi,gɐˈɾãdi,gaˈɾãdi,gaˈɾandi,waɾ(a)maː,ˈdɐ̃,ˈⁿd͡ʒanu,u'ɛk
2,long,adjective,comprido,kõˈpɾiðu,kumpridu,kũˈpɾiɾu,kũˈpɾidu,kumˈpɾiɖu,kum'pɾidu,ɟ͡ʝeɲamaː / ɟ͡ʝamaː,ˈkut,ˈd͡ʒuːti,u'jampal
3,wide,adjective,largo,ˈlaɾgu,largu,ˈlaɾgu,ˈlaɾgu,ˈlaɾgu,laɾgu,fanumaː,,jaˈd͡ʒi,u'wanal
4,thick,adjective,grosso,ˈgɾosu,gros,ˈgɾɔs,ˈgɾɔs,,gɾɔs,fanumaː,,,umak'ʤul
5,heavy,adjective,pesado,pɨˈzaðu,pisadu,,piˈzadu,piˈsa:ɖu,pi'sadu,warumaː / kalumaaː,ˈlep,ˈteɗi,uɾi'ʧal
6,small,adjective,pequeno,pɨˈkenu,pikininu,pikiˈninu,pikiˈninu,pikiˈninu,pk'ninu,nuandjumaː,ˈsõɨ,tosɔkɔ/ fãˈɗi,u'tĩk
7,short,adjective,curto,ˈkuɾtu,kurtu,ˈkuɾtu,ˈkuɾtu,ˈkuɾtu,kuɾtu,nuandjumaː,ðeˈkɨ̃,raʡɓiɗi,u'ɾungutul
8,narrow,adjective,estreito,ɨʃˈtɾɐjtu,stritu,pikiˈninu,,ɨʃˈtɾɛjtu/apɛɾˈtaɖu,dɛl'gadu,,,ˈsewi/ˈfaɗi,u'ɲikʧul
9,thin,adjective,fino/magro,ˈfinu / ˈmagɾu,dalgadu,,,dɛɫˈgaɖu,magɾu,nuandjumaː,ˈtõ,ˈsewi,u'bɔnal
10,warm,adjective,quente,ˈkẽtɨ,kinti,ˈkẽtɨ,ˈkĩtɨ,ˈkĩdi,kĩti,kandiɾiŋ,ˈɲue/ˈɲu,ˈwoli,u'jakal
11,cold,adjective,frio,ˈfɾiu,friu,ˈfɾiu,ˈfɾiw,ˈfɾiu,friu,sumjaː,ˈt͡ʃɔle,ˈɓuɓi,u'ʤɔʧ
12,full,adjective,cheio,ˈʃɐju,intcidu,ˈĩtʃi,ˈĩt͡ʃɨ,ˈĩt͡ʃi,ĩʧi,faɾjuŋ,ˈrit,ˈʜe:wi,u'ʧumal
13,new,adjective,novo,ˈnovu,nobu,ˈnobu,ˈnobu,ˈno:bu,nɔbu,kutoː,oˈʀɐme,ˈkɛsɔ,u'walu
14,old,adjective,velho,ˈvɛʎu,bedju,ˈbɛju,ˈbecu,ˈbeʝu,bɛʤu,kotoː,ˈũkĩðe,nawˈi,u'ʧafal
15,good,adjective,bom,ˈbõ,bon,ˈbõ,ˈbõ,ˈbõ,bõ,beteaɾjuŋ,ˈbõɨ̃,ˈmɔʡjɔ,waɾ / a'ʧɔl
16,bad,adjective,mau,ˈmaw,mau,ˈmaw,ˈmaw,ˈmaw,maw,amambetea,ˈpɐ̃,boⁿɗɔ,waɾaʧ / ʧɔ'laʧ
17,rotten,adjective,podre,ˈpodɾɨ,podri,ˈpodɾi ,ˈpodɾi,ˈpodɾi,pɔdɾi,tiɲaɾjuŋ,,ˈlɐm:i,na'ɾaʤ
18,dirty,adjective,sujo,ˈsuʒu,susu,ˈsuzu,ˈsusu,ˈsu:su,susu,noreuŋ,ˈlɔr,ˈtu:ni,u'ʧɔpal
19,straight,adjective,direito,diˈɾɐjtu,diretu,ˈrɛtu,diˈɾitu,ˈrɛ:tu/diˈɾɛtu,diɾitu, ɟ͡ʝaɲarjuŋ,ˈbõɨ̃,ˈfe:wi,waɾ
20,round,adjective,redondo,ʀɨˈdõðu,rodondu,roˈdõdu,rɨˈdõdu,roɖõɖu,ɾɛ'dõdu,bolobolomaː,,,
21,sharp,adjective,afiado,ɐˈfjadu ,fiadu,ˈgudu,,ˈguɖu,fj'adu,sorjuŋ,ˈmeretɨ,ˈseɓi,aɾɛ
22,dull,adjective,boto,ˈbotu,,kɔɾˈtadu,,kaˈsa:bi/ ˈmoɫgɐ,,,ˈtũɨ̃,weˈla,ɾɛʧ
23,smooth,adjective,liso/ suave,ˈlizu,lisadu,ˈlizʊ,,ˈfinu/ˈlisu,lizu,abedjaɾiŋ,,ˈɓowbɾi,
24,wet,adjective,molhado,muˈʎaðu,modjadu,mɔˈdʒadu,mɔˈjadu,moˈʝaɖu,mɔ'ʤadu,sinandiŋ,ˈmõĩ,ˈɓuguɗɔ,u'ŋɔwal
25,dry,adjective,seco,ˈseku,seku,ˈsɛku,ˈsɛku,ˈsɛ:ku,sɛku, ɟ͡ʝaːɾiŋ,ˈsɔɫ,ˈɓuɓa,uka'jal
26,correct,adjective,correto,kuˈʀɛtu,koretu,ˈbõ,ˈsɛɾtu,ˈsɛɾtu/kɔˈɾɛtu,sɛɾtu,kendoː,ˈbõɨ̃,ˈsaɲi,waɾ
27,near,adjective,perto,ˈpɛɾtu,pertu,ˈpɛɾtu,ˈpɛɾtu,ˈpɛɾtu,pɛɾtu,suteaɾjuŋ,kũˈtũge,ˈɓwati,wɔkal
28,far,adjective,longe,ˈlõʒɨ,lundju,ˈlũdʒu,ˈloɲu,ˈlũd͡ʒu,lũʤu, ɟ͡ʝaŋfaɾjuŋ,ˈdat,ˈwoɗi,ula'wal
29,right,adjective,direita,diˈɾɐjtɐ,direta,diˈɾejtɐ,diˈɾejtɐ,diˈrejtɐ,diɾɛjta,bulubaː,,ˈɲamo,ka'ril
30,left,adjective,esquerda,ɨʃˈkeɾdɐ,skerda,ɨʃˈkɛɾdɐ,ˈʃkeɾdɐ,ɨʃkeɾdɐ,skɛɾda,maraː,,ˈnano,ka'maj
31,animal,animal,animal,ɐniˈmaɫ,animal,aniˈmal,ɐniˈmal,ɐniˈmaɫ,li'maɾia,dafewŋ,,ˈkulːi,uli'maɾia
32,fish,animal,peixe,ˈpɐjʃɨ,pis,ˈpis,ˈpis,ˈpis,pis,jeu,kiˈsɛle,ˈliʡji,uʧb
33,bird,animal,pássaro,ˈpasɐɾu,pastru,ˈkadʒu,ˈpasɐɾu,ˈabɨʃ/paˈsɐɾu/ˈpaʃtɾu,kaʧu,kuɳo,,ˈt͡ʃolːi,u'kaʧ
34,dog,animal,cão,ˈkɐ̃w̃,,kaˈtʃoru,kɐˈt͡ʃoɾ,kɐˈt͡ʃuɾ,ka'ʧuɾ,ulo,ˈbit,ˈrɐwãɗu,ubus
35,louse,animal,piolho,pˈjoʎu,karanga,kaɾẽˈga,kɐˈɾɐ̃gɐ,kɐˈɾãgɐ,,,,tẽɗi,
36,snake,animal,cobra,ˈkɔbɾɐ,kobra,ˈkɔbɾɐ,ˈkɔbɾɐ,ˈkɔbɾɐ,kɔbɾa,,ˈĩɣwlɐ̃,ˈbɔɗi,ukɔpʧaʧ
37,worm,animal,bicho,ˈbiʃu,bitcu,ˈiʃka,ˈbit͡ʃu,ˈbi:t͡ʃu,biʧu,,,ˈkulːi,ukuʧ
38,skin,animal product,pele,ˈpɛlɨ,pele,ˈpɛli,ˈpɛli,ˈpeli,pɛli,saː,ˈlejt,,katl
39,meat,animal product,carne,ˈkaɾnɨ,karna,ˈkaɾni,ˈkaɾni,ˈkaɾni,kaɾni,tonoŋ,ˈteu,ˈteo,ujamaʧ
40,blood,animal product,sangue,ˈsɐ̃gɨ,sangui,ˈsãgi,ˈsãgi,ˈsɐ̃gɨ,sãŋgi,baloː,kiˈsɐ̃,ˈɗiʎɐ,pɲak
41,bone,animal product,osso,ˈosu,os,ˈɔs,ˈɔs,ˈɔs,ɔs,suboː,ˈfuɫ,ˈʡiɛ,ka''mwa
42,fat (n.),animal product,gordura/banha,guɾˈduɾɐ / ˈbɐɲɐ,banha,guɾˈduɾɐ,guɾˈduɾɐ,goɾˈɖuɾɐ,guɾ'duɾa,jɛloː,,fejˈfejɾu,mniɾ
43,egg,animal product,ovo,ˈovu,obu,ˈobu,ˈovu,ˈovu,ɔvu / 'ɔbu,kuloː,ˈkɐʀe,ˈbɔfɔ,p'ʤɛʤ
44,horn,animal product,corno,ˈkoɾnu,tcifri,ˈkifɾi,ˈt͡ʃifɾi,ˈt͡ʃifɾi,ʧifɾi,timjaŋ,,gaˈlali/aˈlaɗu,p'tĩ
45,tail,animal product,cauda,ˈkawðɐ,rabu,ˈrabu,,ˈrabu,ɾabu,sisɛkeɭo,,ˈlat͡ʃoɭ/ˈlat͡ʃi,p'ʧaʧ
46,feather,animal product,pena,ˈpenɐ,pena,ˈpenɐ,ˈpenɐ,ˈpɛnɐ,pɛna,biɳoː,ˈkɔlokɔɾ,ˈleɓi/ˈleɓoɭ,ka'lũg
47,hair,body part,cabelo,kɐˈbelu,kabelu,kaˈbelʊ,ka'belu,ˈkabelu,ka'bɛlu,fejŋoː,ˈuɫ,suˈkũɗu,wɛl
48,head,body part,cabeça,kɐˈbesɐ,kabesa,kaˈbɛsɐ,ka'bɛsɐ,kaˈbɛsɐ,ka'bɛsa,tjoː,ˈpkɔ,ˈʜoɾɛ/koˈʡɛ,bẽŋ
49,ear,body part,orelha,oˈɾɐʎɐ,oredja,ɔˈreʎɐ,o'ɾeɟa,oˈɾejʎɐ,ɔ'ɾɛʤa,kotiŋo,,ˈnop:i,ka'baʧ
50,eye,body part,olho,ˈoʎu,udju,,ˈoʝo,ˈoʝu,uʤu,tuloː,ˈkit,giˈɾɛ,pks
51,nose,body part,nariz,nɐˈɾiʃ,naris,naˈɾis,nɐˈɾis,nɐˈris,naɾis,ŋa,ˈfũɲe,kiˈnɛɫ,bis
52,mouth,body part,boca,ˈbokɐ,boka,ˈbɔkɐ,ˈbɔkɐ,ˈbɔ:kɐ,bɔka,nuŋ,pˈsũ,ˈʜunɔkɔ,m'tũ
53,tooth,body part,dente,ˈdẽtɨ,dinti,ˈdẽti,ˈdĩti,ˈdĩti,dĩti,da,kˈsɨt,ˈɲiɗɛ,p'ɾũbaʤ
54,tongue,body part,língua,ˈlĩgwɐ,lingua,ˈlĩgwɐ,ˈlĩgwɐ,ˈlĩgwɐ,lĩgwa,ŋewŋ,kˈdemɛt,'ɗẽgal,p'rẽt / p'lẽʧ
55,fingernail,body part,unha,ˈuɲɐ,unha,ˈuɲɐ,ˈŋuɲɐ,'muɲa,ũɲa,,ũˈkambo,pɛ'ɗale,kaŋiɾi
56,foot,body part,pé,ˈpɛ,pe,ˈpɛ,ˈpɛ,'pɛ,pɛ,sjuŋ,kˈfɨ̃,'kɔjɗe,pʧi'm
57,leg,body part,perna,ˈpɛɾnɐ,pe,ˈpɛrnɐ,ˈpɛɾnɐ,'pɛ,pɛɾna,utoː,,'poɓi / 'pɔɓɛ,p'bɔʤ
58,knee,body part,joelho,ʒuˈɐʎu,djudju,ʒuˈelu,ˈɟuɟu,'d͡ʒud͡ʒu,ʤuʤu,siŋkulo,,'kop:i,p'ʤul
59,hand,body part,mão,ˈmɐ̃w̃,mon,ˈmõ,ˈmõ,mõw̃,mõŋ,buloː,ˈt͡ʃif,'d͡ʒuɗɛ,ka'ɲaŋ
60,wing,body part,asa,ˈazɐ,asa,ˈazɐ,ˈazɐ,'azɐ,aza,dapawŋ,,'ɓowad͡ʒi,ka'bakla
61,belly,body part,barriga,baˈʀigɐ,bariga,baˈɾigɐ,bɐˈɾigɐ,bɐ'ɾigɐ,ba'ɾiga,koɳo,ˈɲɛfe,'reɗu,p'ps
62,guts,body part,tripas,ˈtɾipɐʃ,tripa,ˈtɾipɐs,ˈtɾipɐ,'tɾipɐ,tɾipa,ɳwo,ũˈbute,te'teki,ips
63,neck,body part,pescoço,pɨʃˈkosu,garganti,pɨʃˈkozu,gɐrˈgɐ̃tɨ,gɐɾ'gãti,pis'kus,ekɐwŋ,ˈklɨt,'ɗãɗe,ka'ʧuʧ
64,back,body part,costas,ˈkɔʃtɐʃ,kosta,ˈkɔʃtɐ,ˈkɔʃtɐ,ˈkɔʃtɐ,kɔsta,koma,ˈtɐ̃,'ɓaw,b'ʤal ufɛʧ
65,breast,body part,peito,ˈpɐjtu,pitu,ˈpitu,ˈpitu,'pitu,pitu,isisoː,ˈpsɐ̃ɨ̃,'ɓɛrⁿde,b'ʤiʧ
66,heart,body part,coração,kuɾɐˈsɐ̃w̃,korson,kuɾaˈsãw̃,kuɾɐˈsõ,kora'sõw̃,kɔɾ'sõ,jusoː,ˈfiɲɐ,kora'sõw̃ / 'ɓɛrⁿde,was
67,liver,body part,fígado,ˈfigɐðu,figadu,ˈfigɐɾu,ˈfigɐdu,ˈfigaɖu,figadu,kifkafu,,'keɠi,was
