ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
101,star,environment,estrela,ɨʃˈtɾelɐ,strela,ɨʃˈtɾɛlɐ,ɨsˈtrelɐ,'ɨʃtɾɛlɐ,s'tɾɛla,loːloː,,‘kɔɗe,u'pɛsaʤ
102,water,environment,água,ˈaɣwɐ,iagu,ˈiagu,ˈjagu,'ja:gu,jagu,ɡjeo,,ⁿdija,m'lik
103,rain,environment,chuva,ˈʃuvɐ,tcuba,ˈtʃubɐ,ˈt͡ʃubɐ,'t͡ʃubɐ,ʧuba,sama,χ'ɛsɛ,‘toɓu,usubal
104,river,environment,rio,ˈʀiu,riu,ˈriu,ˈriw,'rju,ʤiu,ba:boloŋ,,‘majo,b'ɾk
105,lake,environment,lago,ˈlaɣu,lagua,ˈlagoɐ,lagu,lɐ'guɐ,lagu,badjuŋ,,‘lewoɫ / ‘t͡ʃãɠoɫ,
106,sea,environment,mar,ˈmaɾ,mar,ˈmar,ˈmaɾ,ˈmaɾ,maɾ,ba:,,'gɛd͡ʒ,b'ɾk
107,salt,environment,sal,ˈsaɫ,sal,ˈsal,ˈsal,'sal,sal,ko:,,'lamɗã,p'nã
108,stone,environment,pedra,ˈpɛdɾɐ,pedra,ˈpɛdɾɐ,ˈpɛdɾɐ,ˈpɛdɾɐ,pɛdɾa,bɛro,,'ʜajɾe / 'kaʔje,p'lak
109,sand,environment,areia,ɐˈɾɐjɐ,reia,ˈrejɐ,ˈrejɐ,'ɾejɐ,ɾɛ'ja,kɛŋo,,'lejɗi ,m'bɔs
110,dust,environment,pó,ˈpɔ,po,puˈɛɾɐ,puˈɛɾɐ,'pwɛɾɐ,,kaŋkawŋ,,'t͡ʃõɗi,m'bɔs
111,earth,environment,Terra,ˈtɛʀɐ,tera,ˈtɛɾɐ,ˈt͡ʃõ,'t͡ʃõw̃,tɛɾa,duɳja,,'lejɗi ,u'ʧak
112,cloud,environment,nuvem,ˈnuvɐ̃j̃,nuven,ˈnuvɐ̃j̃,ˈnuvẽ,'nuvẽ,nu'vẽ,sawŋ,,'baɲi,
113,fog,environment,nevoeiro,nɨvwˈɐjɾu,kasimba/fumansa,sɛˈɾɛnʊ / sɛˈrɛnu,sɨˈɾen,'tĩgi,,koŋbo:,,'ɗiwi,ka'bɔlaɾ
114,sky,environment,céu,ˈsɛw,seu,ˈsɛw,ˈsew,'sew ,sɛw,sawŋ,,'kam:o,ba'ʧi
115,wind,environment,vento,ˈvẽtu,bentu,ˈbẽtu,ˈbẽtu,'bẽtu,vẽtu,foŋo:,,'ʜẽɗu,u'fuʧ
116,snow,environment,neve,ˈnɛvɨ,,ˈnɛvi,,ˈnevi,nɛvi,ʒeɭo,,,
117,ice,environment,gelo,ˈʒelu,djelo,ˈʒelu,ˈʒelu,ˈʒelu,ʒɛlu,ʒeɭo,,'ɡlas,u'ʤɛlu
